id,cohort,tray,row,col,genotype,generation,size1,size2,size3,observer,
1387,1,7,G,5,6034,parent,,,,,
916,1,7,G,6,8283x9471 rep1,F8,,,,,
634,1,7,H,1,6193x9394 rep2,F8,,,,,
1693,1,7,H,2,6917,parent,,,,,
988,1,7,H,3,9058x6112 rep1,F8,,,,,
1738,1,7,H,4,8256,parent,,,,,
550,1,7,H,5,6163x6111 rep2,F8,,,,,
1651,1,7,H,6,6231,parent,,,,,
1405,1,8,A,1,6041,parent,,,,,
1681,1,8,A,2,6276,parent,,,,,
1150,1,8,A,3,9409x6104 rep1,F8,,,,,
367,1,8,A,4,6105x5829 rep1,F8,,,,,
955,1,8,A,5,8386x6241 rep2,F8,,,,,
1093,1,8,A,6,9391x5867 rep2,F8,,,,,
790,1,8,B,1,6413x8351 rep1,F8,,,,,
1180,1,8,B,2,9427x8387 rep1,F8,,,,,
1924,1,8,B,3,9476,parent,,,,,
1063,1,8,B,4,9381x6198 rep2,F8,,,,,
1384,1,8,B,5,6030,parent,,,,,
1012,1,8,B,6,9336x6220 rep1,F8,,,,,
1402,1,8,C,1,6040,parent,,,,,
685,1,8,C,2,6210x6134 rep1,F8,,,,,
1270,1,8,C,3,992x9332 rep1,F8,,,,,
1336,1,8,C,4,5830,parent,,,,,
472,1,8,C,5,6133x6917 rep2,F8,,,,,
1171,1,8,C,6,9416x6086 rep2,F8,,,,,
511,1,8,D,1,6145x8247 rep1,F8,,,,,
1309,1,8,D,2,1317,parent,,,,,
589,1,8,D,3,6177x6023 rep1,F8,,,,,
718,1,8,D,4,6231x6039 rep1,F8,,,,,
970,1,8,D,5,8423x8240 rep1,F8,,,,,
1879,1,8,D,6,9413,parent,,,,,
154,1,8,E,1,6013x8241 rep1,F8,,,,,
985,1,8,E,2,9057x9382 rep2,F8,,,,,
1189,1,8,E,3,9433x6030 rep2,F8,,,,,
1090,1,8,E,4,9391x5867 rep1,F8,,,,,
1084,1,8,E,5,9390x8283 rep1,F8,,,,,
1312,1,8,E,6,1318,parent,,,,,
1201,1,8,F,1,9437x6197 rep2,F8,,,,,
397,1,8,F,2,6112x6166 rep2,F8,,,,,
1351,1,8,F,3,5867,parent,,,,,
1111,1,8,F,4,9395x9454 rep2,F8,,,,,
355,1,8,F,5,6100x6069 rep1,F8,,,,,
943,1,8,F,6,8369x6132 rep2,F8,,,,,
532,1,8,G,1,6150x6218 rep2,F8,,,,,
445,1,8,G,2,6128x9413 rep1,F8,,,,,
469,1,8,G,3,6133x6917 rep1,F8,,,,,
1783,1,8,G,4,9058,parent,,,,,
475,1,8,G,5,6134x6013 rep1,F8,,,,,
523,1,8,G,6,6149x9395 rep1,F8,,,,,
1504,1,8,H,1,6122,parent,,,,,
1198,1,8,H,2,9437x6197 rep1,F8,,,,,
487,1,8,H,3,6137x5867 rep1,F8,,,,,
439,1,8,H,4,6127x6918 rep1,F8,,,,,
1456,1,8,H,5,6098,parent,,,,,
958,1,8,H,6,8387x6238 rep1,F8,,,,,
1420,1,9,A,1,6070,parent,,,,,
1432,1,9,A,2,6076,parent,,,,,
979,1,9,A,3,8426x6193 rep2,F8,,,,,
