id,cohort,tray,row,col,genotype,generation
1349,2,19,F,1,5865,parent
773,2,19,F,2,6258x1257 rep1,F8
689,2,19,F,3,6210x6134 rep2,F8
221,2,19,F,4,6035x9433 rep2,F8
38,2,19,F,5,1137x6237 rep1,F8
512,2,19,F,6,6145x8247 rep1,F8
830,2,19,G,1,6974x6198 rep2,F8
506,2,19,G,2,6142x7517 rep1,F8
1718,2,19,G,3,8230,parent
566,2,19,G,4,6169x8230 rep1,F8
1274,2,19,G,5,992x9332 rep2,F8
62,2,19,G,6,1317x6276 rep1,F8
1421,2,19,H,1,6070,parent
1937,2,19,H,2,997,parent
248,2,19,H,3,6041x6153 rep1,F8
1439,2,19,H,4,6086,parent
1223,2,19,H,5,9453x6106 rep1,F8
1304,2,19,H,6,1254,parent
668,2,20,A,1,6202x9402 rep1,F8
581,2,20,A,2,6172x6148 rep2,F8
134,2,20,A,3,5865x8426 rep1,F8
779,2,20,A,4,6276x9363 rep1,F8
1538,2,20,A,5,6137,parent
533,2,20,A,6,6150x6218 rep2,F8
158,2,20,B,1,6013x8241 rep2,F8
1577,2,20,B,2,6169,parent
764,2,20,B,3,6252x6202 rep2,F8
152,2,20,B,4,6012x997 rep2,F8
44,2,20,B,5,1158x6092 rep1,F8
164,2,20,B,6,6017x9392 rep2,F8
1817,2,20,C,1,9369,parent
1892,2,20,C,2,9433,parent
569,2,20,C,3,6169x8230 rep2,F8
1850,2,20,C,4,9394,parent
521,2,20,C,5,6148x6138 rep2,F8
65,2,20,C,6,1317x6276 rep2,F8
911,2,20,D,1,8259x6217 rep1,F8
299,2,20,D,2,6076x1254 rep1,F8
1586,2,20,D,3,6173,parent
113,2,20,D,4,5830x6085 rep2,F8
1400,2,20,D,5,6039,parent
1067,2,20,D,6,9382x6035 rep1,F8
977,2,20,E,1,8426x6193 rep1,F8
1778,2,20,E,2,8426,parent
1895,2,20,E,3,9434,parent
32,2,20,E,4,1137x1074 rep1,F8
1835,2,20,E,5,9386,parent
1397,2,20,E,6,6038,parent
1130,2,20,F,1,9404x9390 rep2,F8
35,2,20,F,2,1137x1074 rep2,F8
1697,2,20,F,3,6918,parent
344,2,20,F,4,6097x1318 rep2,F8
821,2,20,F,5,6974x6102 rep1,F8
449,2,20,F,6,6128x9413 rep2,F8
629,2,20,G,1,6193x6133 rep2,F8
626,2,20,G,2,6193x6133 rep1,F8
653,2,20,G,3,6197x6127 rep2,F8
230,2,20,G,4,6036x6203 rep1,F8
278,2,20,G,5,6070x6019 rep1,F8
1031,2,20,G,6,9353x6109 rep1,F8
1499,2,20,H,1,6115,parent
980,2,20,H,2,8426x6193 rep2,F8
707,2,20,H,3,6218x6043 rep2,F8
1463,2,20,H,4,6100,parent
1910,2,20,H,5,9453,parent
